Stain,Profiling system,Plate/Run,,D3,vWA,D16,D2,D8,D21,D18,D19,TH01,FGA
hammer,SGM+,YC12.1234 (A1),Allelic,"14,16","15,16,19","11,13,14","20,23,24,25","11,12,13,15","28,31",,"12,14,15.2,17.2","6,8,9,9.3",22
hammer,SGM+,YC12.1234 (A1),Uncertain,,,,,,,,,,
hammer,SGM+,YC12.1234 (B2),Allelic,"14,16","15,16,17,19","11,13,14","20,24,25","11,12,13,15","28,29,30,31,31.2","13,14,16,17","12,13,14,15.2,17.2","6,8,9,9.3","22,23,25"
hammer,SGM+,YC12.1234 (B2),Uncertain,,,,,,,,,,
