"Stain","Profiling system","Plate Run","","D10S1248","vWA","D16S539","D2S1338","D8S1179","D21S11","D18S51","D22S1045","D19S433","TH01","FGA","D2S441","D3S1358","D1S1656","D12S391","SE33"
"3cont_3.u.1.t","NGMSelect","R1","Allelic","13,14","14,16,17,18","12","17,18,20,22,23","10,14,15","30,31.2,33.2","12,13,14,15","15,16","13,14,14.2,15,17","6,7,8,9,9.3","20,22,24","10,11,14,15","14,15,17","12,14,15,15.3,17.3","17,18,19,19.3,20,23","15,17,19,25.2,27.2"
"3cont_3.u.1.t","NGMSelect","R1","Uncertain","12,15","","11","16","","29,32.2","11","14,17","13.2","","19,21","9","16,18","11,13","16","16,18,24.2,26.2"
